,Date,Open,High,Low,Close,Volume,Market Cap
0,"Feb 28, 2018",408.52,416.71,382.03,382.03,53379100,1378080000
1,"Feb 27, 2018",405.05,418.4,400.2,408.97,44954300,1363480000
2,"Feb 26, 2018",391.65,414.7,384.44,404.24,56278600,1315560000
3,"Feb 25, 2018",391.6,396.78,382.17,391.25,50147900,1312580000
4,"Feb 24, 2018",415.35,423.3,379.9,392.28,57684200,1389200000
5,"Feb 23, 2018",396.84,424.32,382.68,416.32,65084700,1324440000
6,"Feb 22, 2018",441.61,449.35,396.53,397.79,70323100,1470670000
7,"Feb 21, 2018",438.75,463.42,418.26,434.8,98094200,1458040000
8,"Feb 20, 2018",474.24,482.53,436.72,438.57,92509400,1572610000
9,"Feb 19, 2018",449.52,486.84,447.04,472.97,89904700,1487380000
10,"Feb 18, 2018",491.61,492.31,447.43,451.02,75407700,1623190000
11,"Feb 17, 2018",480.43,495.78,475.58,490.84,89428000,1582800000
12,"Feb 16, 2018",484.19,495.66,465.98,481.52,81125600,1591700000
13,"Feb 15, 2018",483.83,489.54,465.38,486.75,91880100,1587070000
14,"Feb 14, 2018",445.52,485.37,445.52,483.79,95177000,1458170000
15,"Feb 13, 2018",462.04,463.24,432.72,447.13,69848500,1509010000
16,"Feb 12, 2018",436.66,472.46,436.66,462.24,73819900,1422980000
17,"Feb 11, 2018",482.73,482.73,412.92,434.16,87156000,1569620000
18,"Feb 10, 2018",475.1,511.75,460.09,483.42,124973000,1541400000
19,"Feb 09, 2018",437.1,476.12,401.43,475.72,109467000,1414970000
20,"Feb 08, 2018",355.69,437.83,355.69,435.91,113216000,1148880000
21,"Feb 07, 2018",368.75,391.06,327.84,354.35,95854600,1188410000
22,"Feb 06, 2018",307.35,375.39,262.31,372.38,140867000,988334000
23,"Feb 05, 2018",343.02,349.36,281.14,303.61,56414800,1100550000
24,"Feb 04, 2018",388.73,404.1,333.99,346.91,45202600,1244410000
25,"Feb 03, 2018",384.51,405.03,345.66,388.55,53483300,1228180000
26,"Feb 02, 2018",398.83,398.83,306.53,383.55,113633000,1270100000
27,"Feb 01, 2018",399.26,409.4,367.09,400.74,117572000,1269550000
28,"Jan 31, 2018",383.87,398.27,362.6,397.88,77064800,1217890000
29,"Jan 30, 2018",448.92,448.92,381.45,383.47,77962100,1421050000
30,"Jan 29, 2018",471.43,476.64,443.14,448.62,75045800,1489000000
31,"Jan 28, 2018",453.47,476.91,453.47,471.99,74527600,1428950000
32,"Jan 27, 2018",456.53,465.78,437.08,451.69,71220400,1435350000
33,"Jan 26, 2018",473.68,491.47,429.65,456.94,87992700,1485840000
34,"Jan 25, 2018",457.58,475.46,451.97,472.97,85020800,1432080000
