,Date,Open,High,Low,Close,Volume,Market Cap
0,"Feb 28, 2018",0.366978,0.367626,0.34780500000000003,0.36380500000000005,4728520,306156000
1,"Feb 27, 2018",0.368481,0.392869,0.352681,0.367741,5709530,307410000
2,"Feb 26, 2018",0.321319,0.399158,0.321319,0.368293,12723600,268064000
3,"Feb 25, 2018",0.313645,0.328479,0.308257,0.321022,3952320,261662000
4,"Feb 24, 2018",0.33302800000000005,0.337346,0.305843,0.313255,4274930,277833000
5,"Feb 23, 2018",0.327499,0.347093,0.311265,0.33276,6876640,273220000
6,"Feb 22, 2018",0.335228,0.361383,0.32824200000000003,0.32824200000000003,7608570,279668000
7,"Feb 21, 2018",0.368867,0.380819,0.331982,0.335111,7932610,307732000
8,"Feb 20, 2018",0.43416400000000005,0.4426,0.367897,0.369198,7493480,362207000
9,"Feb 19, 2018",0.44492600000000004,0.450114,0.42791,0.434274,7363840,371185000
10,"Feb 18, 2018",0.47423000000000004,0.474371,0.420465,0.44573500000000005,8624300,395632000
11,"Feb 17, 2018",0.46438900000000005,0.49692600000000003,0.454478,0.47377600000000003,14806400,387422000
12,"Feb 16, 2018",0.433199,0.463819,0.42863599999999996,0.46339600000000003,8172480,361401000
13,"Feb 15, 2018",0.42152399999999995,0.46776999999999996,0.41939799999999994,0.433741,13711800,351661000
14,"Feb 14, 2018",0.353491,0.423821,0.353491,0.420837,9353390,294904000
15,"Feb 13, 2018",0.375352,0.376471,0.350259,0.353811,4213550,313142000
16,"Feb 12, 2018",0.328726,0.37829,0.328726,0.374875,5061580,274244000
17,"Feb 11, 2018",0.337617,0.347617,0.307662,0.32842899999999997,3995460,281661000
18,"Feb 10, 2018",0.355902,0.373805,0.324246,0.337964,5532660,296915000
19,"Feb 09, 2018",0.325948,0.36328699999999997,0.306114,0.356723,6012610,271926000
20,"Feb 08, 2018",0.328513,0.366703,0.315867,0.32449,5649050,274066000
21,"Feb 07, 2018",0.306571,0.376323,0.287283,0.327961,4264010,255760000
22,"Feb 06, 2018",0.272481,0.30954899999999996,0.22238899999999998,0.308052,4084880,227321000
23,"Feb 05, 2018",0.34096,0.349358,0.260851,0.271478,4058970,284450000
24,"Feb 04, 2018",0.42544799999999994,0.42746999999999996,0.328473,0.344296,3866430,354935000
25,"Feb 03, 2018",0.370122,0.43516400000000005,0.33781300000000003,0.426292,4524440,308779000
26,"Feb 02, 2018",0.430011,0.43225600000000003,0.29577,0.369203,6521330,358742000
27,"Feb 01, 2018",0.46786300000000003,0.473372,0.383801,0.430306,13428500,390320000
28,"Jan 31, 2018",0.457167,0.468699,0.419141,0.466609,12899300,381397000
29,"Jan 30, 2018",0.5519930000000001,0.5519930000000001,0.454,0.455692,8953960,460507000
30,"Jan 29, 2018",0.590005,0.596672,0.529697,0.5513520000000001,10889700,492219000
31,"Jan 28, 2018",0.577066,0.6068520000000001,0.575572,0.591069,9126210,481424000
32,"Jan 27, 2018",0.550896,0.584811,0.538421,0.573883,8286070,459592000
33,"Jan 26, 2018",0.571573,0.60006,0.513041,0.551466,12483400,476842000
34,"Jan 25, 2018",0.625283,0.644259,0.553796,0.573793,18984700,521650000
35,"Jan 24, 2018",0.588475,0.644362,0.563987,0.6170869999999999,15167700,490943000
36,"Jan 23, 2018",0.571276,0.61938,0.53633,0.585899,8265020,476594000
37,"Jan 22, 2018",0.628266,0.665941,0.540933,0.572049,11181700,524138000
38,"Jan 21, 2018",0.751888,0.751888,0.608755,0.622448,9510080,627271000
39,"Jan 20, 2018",0.7072890000000001,0.756293,0.701847,0.752239,12730100,590065000
40,"Jan 19, 2018",0.649183,0.713605,0.623077,0.70077,20327600,541588000
